2	店-お-compound	また行きたい、そんな気持ちにさせてくれるお店です。
43	会-飲み-compound,店-お-compound	人数、予算に合わせた飲み会がしやすいお店だと思います。
44	ら-博史-compound	元ダイエーの藤本博史らと並び、プロ野球選手には珍しい柔道の有段者である。
45	歌手-女性-compound	ごく少数の女性歌手もいるが、たいては男性が歌う。
47	騰落率-株価-compound	アジアが注目される中、日本の株価騰落率はマイナス3%。
50	領域-技術-compound,インターフェース-型-compound,認識-文脈-compound,実行-代理-compound	Siriの主要な技術領域は、会話型インターフェース、人的文脈認識、そしてサービスの代理実行である。
51	城-お-compound	こういう理屈で一時は“お城”を建設しようともしていたそうですが,結局,それは頓挫。
53	たち-ネイト-compound,都市-黄金-compound	ネイトたちはこの黄金都市を探す。
56	公爵-ガンディア-compound	この功績や武勇からスペインでは英雄扱いされ、王家からはガンディア公爵の地位を与えられた。
57	歌手-・-compound,作詞家-・-compound	リスナーから寄せられたヒット曲に関する疑問について、歌手・作詞家・作曲家などから証言を集めて紹介。
58	社長-鉄道-compound,取締役-株式会社-compound,理事長-株式取引所-compound,等-社長-compound	関西鉄道社長、東京馬車鉄道株式会社取締役、東京株式取引所理事長、日清生命保険会社社長等を歴任。
59	繊維-・-compound,全体-事業-compound,キャンペーンモデル-グループ-compound	更にその後、繊維・水着のみならず、グループ事業全体のPRも担わせるため、第33代から「旭化成グループキャンペーンモデル」に名称変更し、今に至っている。
61	店-お-compound	お店がホテルの地下なので雰囲気がいまいち。
62	氏-佐藤-compound	破裂した心臓すら治せるという超能力なのに,佐藤氏の病気は治せなかったわけです。
64	イングリッシュ-・-compound,イングリッシュ-・-compound,ら-ヘリテッジ-compound	英国政府の公的機関であるイングリッシュ・ネイチャーや、イングリッシュ・ヘリテッジらと協力して活動をすすめている。
65	祭り-コーナー-compound	第25回の新コーナー祭りで登場。
66	スター・ウォーズ-』-compound,ダース-・-compound,役-ベイダー-compound	『スター・ウォーズ』のダース・ベイダー役のオーディションを受けたこともある。
67	側-代表-compound	死亡した少女の母親は本紙の取材に対して“和解ではなく判決を目指したい”との意向を示していましたが,和解の協議の席で,堀代表側も和解を拒否。
68	放送-年-compound,放送-年-compound	1970年放送の第2部から2000年放送の第28部まで30年間にわたり出演。
71	うたばん-』-compound	近年では『うたばん』のように、それを逆手に取り笑いのネタとして積極的に活用する番組も現れている。
72	以来-結婚式-compound	こういう写真は結婚式以来でしたので、はじめはとても緊張しましたが、adamのその場をリラックスさせる雰囲気とトークのおかげで、最終的にはノリノリで撮影を行うことができました。
74	料理-漢-compound,さん-居酒屋-compound	居酒屋って言ったら肉々しー感じの漢料理が多いイメージが個室も多いしこれだったら、女子でも気軽に行ける感じがして良い居酒屋さんでした♪
75	人-機械化-compound	劇場版第2作では、生身の人間と機械化人との間で生じた抗争により廃墟と化している。
76	敷地内-本部-compound	パーフェクトリバティー教団本部敷地内に立地する。
77	制御-燃焼-compound	シリンダーによっては噴射から吸入までややタイムラグが発生する為、当然ながら燃焼制御も大雑把なものとなる。
78	レース-チャンピオン-compound,レース-・-compound,シルエット-スーパー-compound	シルビアと同様、富士グランチャンピオンレース・スーパーシルエットに参戦した。
79	鉱物学-近代-compound	また、近代鉱物学の延長にある結晶学的手法も長足の進歩を遂げ、人工では合成出来ない結晶構造の物質を見いだすに至った。
80	センター-総合-compound,間-週-compound	水槽は財団法人自治総合センターなどの支援を受け、9月までに全13校に各2週間、展示。
81	方法-リリース-compound	加えて、この今回のリリース方法も面白いことがある。
83	同様-ハル-compound	血は争えないのか、ハル同様“マトモに薬が利かない”体質である。
84	男性-長髪-compound,氏-英人-compound	その長髪男性は,苫米地英人氏のように見えます。
85	エルサレム-聖地-compound,側-キリスト教徒-compound,王国-エルサレム-compound,入城-エルサレム-compound	ニコラウス4世はこれを大いに歓迎してキリスト教徒の君主であるアルグンを称讃し、返書では「聖地エルサレムをキリスト教徒側に奪還してエルサレム王国の解放は遠からず容易に達成するであろう」とアルグンのエルサレム入城を進言している。
86	会議場-本-compound,室-特別委員会-compound	本会議場や特別委員会室で議論が進む傍らで、居眠りや私語、途中離席をする議員の姿がちらほら見受けられた。
87	12---compound,フィラデルフィア-ペンシルベニア州-compound,潜水艦-級-compound,艦隊-予備役-compound	R-12は1932年9月 27日にニューロンドンを出航しペンシルベニア州フィラデルフィアに向かい、1932年12月 7日に退役、他のR級潜水艦と共に予備役艦隊で保管された。
88	日-開催-compound,前-日-compound	締め切りは開催日の22日前まで。
89	カラー-流行-compound,色-キャメル-compound,効果-スモッグ-compound	また、流行カラーのキャメル色のコートを羽織り、スモッグ効果と照明を利用した神秘的な背景の中でも、シックな魅力を発揮した。
90	メニュー-セット-compound	セットメニューがイチオシ。
91	以下-%-compound,以上-年-compound	なお、太陽の50%以下の質量の星ではその一生は1000億年以上に及ぶ。
92	夜-日-compound	9日夜から風邪の症状を訴え、10日からグラウンドには姿を見せておらず。
93	ホール-小-compound,信者-協会-compound	会場の小ホールには統一協会信者が講演会を訪れていた一般の人は記者を含め5名程だった。
94	梅沢-・-compound,杉本-・-compound,まちゃ-・-compound	決勝に進んだのは梅沢・杉本・まちゃ・RIKACOの4人。
95	満足-大-compound	店の雰囲気も高級感に溢れており、先方も料理には大満足だったらしく接待もいい感じで進んだと思いますね。
97	連盟-学生野球-compound,部-・-compound	また大学野球では札幌学生野球連盟のうち二部・三部のリーグ戦が行われている。
98	前後-人-compound	毎回70人前後を集めるコンサートも本部の新しい魅力の一つに育ちつつある。
99	小学生-』-compound	『三十五人の小学生』などの作品を収録している。
101	ビヨンドアール-美容室-compound	経堂の美容室ビヨンドアールに行ってきました。
104	トーナメント-敗者復活-compound,戦-カナダ-compound,1-第-compound,以降-Q-compound,連続-大会-compound,出場-オリンピック-compound	敗者復活トーナメントで韓国に大勝し、最後の1枠を賭けたカナダ戦に挑んだが、第1 Qで10点差付けられ、第2 Q以降巻き返すも及ばず、2大会連続でオリンピック出場を逃した。
105	駅-最寄-compound,駅-加佐登-compound	最寄駅は加佐登駅。
106	シリーズ-三郎-compound,目-作-compound	「探偵神宮寺三郎シリーズ」の第8作目にあたる。
108	ローカル-福岡-compound	福岡ローカルで1970年代から放送されているCMも大変有名である。
109	店-お-compound	店長も個性的で楽しいお店でした♪
110	スポーツ-中日-compound	現在はフリーの野球解説者、および中日スポーツ、東京中日スポーツの野球評論家。
111	駅長-宮脇-compound,合図-発車-compound	早速、宮脇駅長に抱かれて列車の出発にも立ち会い、前足を上げて発車合図を出し、列車を見送った。
112	アニメ-・-compound,両方-ゲーム-compound,層-ファン-compound	表紙にはアニメーターとしても名を馳せていたイラストレーターのいのまたむつみが起用され、アニメ・ゲーム両方のファン層を取り込むことに一役買っている。
113	2月-今年-compound,委員会-技術-compound,支出-財政-compound,報告書-との-compound	このホメオパシー,今年2月 22日にイギリス議会の“科学と技術委員会”が,科学的根拠がないことを理由に,“国民健康保険による財政支出をやめるべき”との報告書をまとめています。
115	知事選-沖縄県-compound,当初-入党-compound	離党の直接の引き金は沖縄県知事選ですが,入党当初からすれ違いがあったようです。
116	先-移転-compound,高校-開成-compound,裏-ブロック-compound	移転先は駅の反対側,西日暮里4丁目,開成高校の1ブロック裏にある川瀬ビル1階だ。
117	信者-女性-compound,プリン-ミルク-compound,代表-海老澤-compound	一人だけいた若い女性信者が手作りのミルクプリンと紅茶を出し,記者には海老澤代表が付いた。
118	等-サイト-compound	また,以下のサイト等も,現在私とは一切関係なく,こちらが承認しているものではございません。
119	公認-セキグチ-compound,コレクター-モンチッチ-compound	セキグチ公認の世界的なモンチッチコレクターでもある。
120	解析-アクセス-compound,パターン-活用-compound,形-発展-compound	アクセス解析も同じだと思うが,原則論と活用パターン,今後の発展形というところが大事で,それらをコンパクトにまとめて書かれている良書だろう。
121	群-部分-compound,的で-特性-compound,的で-ある-fixed,的で-特性-compound	部分群としては、常に正規であり、特性的であるが必ずしも完全特性的ではない。
122	東西線-・-compound,路線-地下鉄-compound	東西線・南北線の地下鉄路線を運営する。
124	大臣-海江田-compound	さらに、この件については海江田大臣を通じて、経済産業省が準備中であることを明らかにしました。
125	中-キャンペーン-compound,ルーム-ツイン-compound	チェックインの際、フロントにて「キャンペーン中」とのことで、1泊1400元でプレミアムツインルームにアップグレードしました。
126	協会-統一-compound,勧誘-違法-compound	統一協会が組織的に行っている違法勧誘や霊感商法の一端が垣間見えた。
127	マーケット-コミック-compound,サイト-ビッグ-compound	コミックマーケットは例年,東京ビッグサイトで夏冬2回開催されている,同人誌の祭典です。
128	回復-疲労-compound	疲労回復では他に譲るか?
129	キー-度-compound	一度キーを押すとその方向に走り続け、障害物があると止まる。
131	検証-ダム-compound,分-年度-compound	ダム検証についても工程が示されていないとして、本年度分の負担金の支払いを留保するなど国との対立を深めていた。
132	問題-赤字-compound,要因-下支え-compound	その一方で、財政赤字問題に関しては欧州諸国が協力して支援するとの報道が相次いでいる状況となっていることから、これらが幾分から下支え要因になるかにも注目。
133	対策-カルト-compound,サークル-偽装-compound	今回のリーフレットではカルト対策として,しっかり“偽装サークル”の勧誘への啓発が含まれています。
134	粘膜-周囲-compound	明らかに隆起した形態を示し、周囲粘膜との境界が明瞭なもの。
137	連続-場所-compound	白鵬は昨年春場所から11場所連続の一人横綱。
138	チャート-アルバム-compound	全米アルバムチャートにて初登場87位を記録した。
140	COCKANDBULLTUNES-』-compound,絶頂-人気-compound	だが、バンドのピークともいえる傑作『COCKANDBULLTUNES』を発表後、人気絶頂のまま解散した。
141	大東洋-』-compound	大阪で女性スパといったら『大東洋』さん。
142	計画-発売-compound	この時点では商品化について触れられていなかったが、2006年1月に発売計画が発表された。
144	協会-統一-compound	大勢の信者を動員し傍聴券の大半を手に入れた統一協会。
146	向上-業績-compound	しかし,会社の業績向上は一時的なもので,すぐに悪化してしまいました。
148	ら-同級生-compound,当時-歳-compound	一緒に学徒動員した同級生らに見せて17歳当時の思い出を語り合っている。
150	議員-自民党-compound	この時はほかに6人の自民党議員が協力しています。
152	予選-ワールドカップ-compound	突破できなかったFIFAワールドカップ予選の最後の2試合を含め、4試合でチームを指揮。
153	好き-占い-compound	何事も占いで決める極度の占い好き。
156	最高顧問-日-compound	1946年2月 16日最高顧問を辞し、1947年8月公職追放を受ける。
157	上-企画書-compound,画-ポンチ-compound	必ずしも企画書上にポンチ画が書いてある必要はないが,画で考えるのはマストだと思う。
158	画家-理科系-compound,連盟-美術家-compound	研究と資料に基づく精密な絵、イラストを製作する技量をもった理科系画家が、日本出版美術家連盟から分離する形で結成した。
160	ワイワイカード-・-compound	自動改札機を備え、ワイワイカード・SUGOCAの使用が可能である。
163	フリッツ-・-compound	フリッツ・クライスラーとの共演による演奏、録音も度々行った。
166	名誉会長-東レ-compound	東レ名誉会長。
168	店-入-compound,来店-初-compound	私は前から入店してみたかったのですが、なかなか機会がなかったので、先日初来店の際にはテンションが上がっちゃいました!
169	激戦区-店-compound	焼肉店激戦区のこの町!
170	等-費用-compound	但し、この場合、選任される清算人の報酬費用等を予納する必要があり、かなりの負担となるのであまり利用されていない。
171	帯-MHz-compound,内-建物-compound,可能-到達-compound,力-伝達-compound	この名称は、使用される280 MHz帯が建物内や地下鉄などでも到達可能な電波伝達力に由来する。
172	店-お-compound	めずらしい種類がたくさんあり、ここのお店だけ楽しめるデザートになってると思います。
173	実力-・-compound	実力・食材は半額程度から2/3程度。
174	属性-高空-compound,自体-力-compound,任務-占領-compound	移動が高空属性であり、移動力自体も抜群であり、占領任務に大活躍する。
176	3-先生-compound,3-』-compound,落書-はいすくーる-compound,落書-』-compound,物-学園-compound	その後、『3年B組金八先生3』、『はいすくーる落書』など学園物を中心に活躍。
177	団体-カルト-compound,墨付き-お-compound,こと-に-fixed,光栄-意味-compound	言い換えれば反社会的なカルト団体から名指しで“反対活動家”と呼称されたということは,“真っ当”な人物であるとのお墨付きを得たことになり,ある意味光栄なことなのかもしれない。
179	西武バス-・-compound,下-貯水池-compound,西武-・-compound,停留所-芋窪-compound,停留所-下-compound,東-つ-compound	終点の芋窪は、西武バス・都営バスの「貯水池下」停留所とほぼ同じ場所にあるが、西武・都営にも芋窪停留所があり、これは貯水池下停留所の一つ東にある。
180	臨終-孫権-compound,諸葛恪-・-compound	252年の孫権臨終の際、諸葛恪・孫峻と共に後事を託されている。
181	コミューン-ハートフル-compound	MHからはハートフルコミューンによって変身するようになる。
182	酵素-合成-compound,酵素-補-compound	生合成にも使われているグルタミン酸デヒドロゲナーゼや、アミノトランスフェラーゼ、グルタミン酸合成酵素などの酵素と補酵素の作用によって、それぞれ異なる原料から製造する方法もある。
183	遺品-殺害-compound	殺害遺品を所有する者のことで、基本的に殺人鬼の子孫が選ばれる。
184	能力-特殊-compound	「ネヴィ」を操る特殊能力を持つ。
186	中-著書-compound,勇-近藤-compound	著書中で、当時処刑に対して同情を集めていた近藤勇を思い切り批判する。
187	岩見沢-日共-compound	日共岩見沢の白骨が教えている。
190	院長-西川-compound	西川院長は正真正銘の名医です。
192	レアル-・-compound,目-点-compound	1948-49シーズンにはレアル・マドリードに移籍し、1950年11月 5日にはクラブの通算1000点目を決めた。
194	グループ-産経新聞-compound,デジタル-産経-compound	一方の産経新聞グループでデジタル事業を担当する産経デジタルの担当者は,本紙の取材に対し,こう語っています。
195	通り-マニュアル-compound	使い古されたマニュアル通りの手口である。
196	路線-完結-compound	起終点はいずれも三重県にあるが、3.5 kmだけ奈良県を通過するため三重県内完結路線ではない。
198	全体-島-compound,機構-バリア-compound	竜宮島全体を覆う強力な重力波バリア機構。
199	10月-昨年-compound,学園-科学-compound,伝達-情報-compound,購入-土地-compound,計画-建設-compound	しかし,昨年10月に幸福の科学学園が土地を購入した際に地元への情報伝達が不十分だったことから,住民からはいまだに土地購入の経緯を問いただす質問が出たほか,学園建設計画の図面がたびたび変更になっていることを不審がる質問,“住民の意見は計画は変えないという態度で話にならない”とする意見などが噴出。
204	2-第-compound,君-遼-compound	キャッチコピーは「第2の遼君育てます」。
205	以上-例年-compound,ダッシュ-開幕-compound	例年以上に開幕ダッシュが重要だ。
206	済み-統合-compound	拡張パッケージ統合済みのCD 4枚組。
208	老公-ご-compound	元ネタはご老公。
210	セントルイス-・-compound	セントルイス・ラムズが2巡全体33位で彼を指名する可能性があることから、ナイナーズが1巡で指名したと考えられたが、この指名には疑問の声があがった。
212	対象-検討-compound	ここで検討対象のひとつに挙がっている民間療法に“ホメオパシー”があります。
213	剤-ケア-compound	ここのヘアケア剤は、肌の弱い私でも荒れず、それもいいです。
216	首脳-WWE-compound,ガール-ゲイシャ-compound,こと-と-fixed	また抗議した浩子もWWE首脳に注目され、結果ディーヴァ「ゲイシャガール」として共にデビュー、活躍することとなった。
217	時刻-通報-compound,時刻-到着-compound	通報時刻と救急車到着時刻は,消防署の記録に基づいています。
219	終了後-年-compound,ドラフト-NBA-compound,ワシントン-・-compound	大学3年終了後、1999年のNBAドラフトに1巡目7位でワシントン・ウィザーズから指名を受け入団した。
221	間-永川-compound,軌間-mm-compound	標準軌への改築については、1938年7月 1日に完成しているが、慶州-永川間は、762 mm軌間のまま残された。
222	式-分割-compound,車-アストンマーチン-compound	また、このモデルで初めて用いられた3分割式のフロントグリルは今日までアストンマーチン車のアイデンティティとなっている。
223	盲学校-宮城県-compound,内-山形市-compound,盲学校-山形-compound	山形県宮城県盲学校は山形市内になく、上山市にある山形県立山形盲学校が最寄りの盲学校となる。
224	職員-介護-compound,状況-勤務-compound	グループホームでは、介護職員の過酷な勤務状況、虐待、安全対策が問題となることがある。
225	G-・-compound,パン-・-compound	G・ネイガウスは「パン・タデウシュ」と結び付けて解釈していた。
226	スペシャル-TV-compound,タッチ-』-compound,シティーハンター-』-compound,歩-』-compound,DEATHNOTE-』-compound	TVスペシャルを放送した作品は『タッチ』、『シティーハンター』、『はじめの一歩』、『DEATHNOTE』など。
227	10-Solaris-compound,11-X-compound,6.6-R-compound	Solaris 10に含まれるバージョンはX 11 R 6.6に基づいている。
228	投手-憲伸-compound,先発-初-compound,投手-隆-compound,戦-ナショナルズ-compound,登板-初-compound	ブレーブスの川上憲伸投手は4日、岩村のパイレーツとの試合で初先発、斎藤隆投手は、5日のナショナルズ戦が初登板の見込み。
229	生まれ-分-compound,Rh+-型-compound,155.6-身長-compound	5月 4日午前4時32分生まれのA型Rh+、身長155.6 cm。
230	マッサージ-式-compound	渋谷にある台湾式マッサージを受けられるサロンです。
235	罪-殺人-compound	2人は犯行を否認したが、Bが「Aが射殺した」と供述したこと、パナマ帽をAに買い与えたとする台湾人の証言を得たことを証拠に殺人罪で起訴した。
237	帰り-会社-compound	夜22時まで営業しているので、会社帰りに行くことが多いです。
238	系-セカイ-compound,エヴァンゲリオン-新世紀-compound,エヴァンゲリオン-』-compound,兵器-最終-compound,彼女-』-compound,ハルヒ-涼宮-compound,ハルヒ-』-compound,群-作品-compound	「セカイ系」とは『新世紀エヴァンゲリオン』や『最終兵器彼女』や『涼宮ハルヒ』シリーズなど「君と僕」の閉じた関係が「社会」をすっとばして「世界の滅亡」やら「この世の直接リンクしてしまう作品群を示す。
240	線-号-compound,帯-商業地-compound,内外-都市圏-compound	国道3号線の商業地帯には、休日は福岡都市圏内外からの客でにぎわう。
241	宮-玻璃-compound	何代か前の王が建てた玻璃宮がある。
242	自分-ご-compound	キットからご自分で対応出来ます。
243	達-犠牲者-compound	マカロックの遺体はピーリッジの戦場に埋葬されたが、後に他の犠牲者達と共にリトルロックの墓地に移葬された。
244	目-回-compound	3回目の利用になります。
245	ジャー-アレン-compound	プレイヤーのほかプロデューサー、アレンジャーとしても実績がある。
246	戦線-賞-compound,卿-ダービー-compound,トロフィー-チャレンジ-compound,典-賞-compound,人気-番-compound,制覇-兄弟-compound,カップ-エプソム-compound,人気-番-compound	その後は重賞戦線を走り、ダービー卿チャレンジトロフィーで4着、新潟大賞典は1番人気で2着、兄弟制覇が期待されたエプソムカップでは1番人気で3着となるなど安定した走りを見せたが勝利は挙げられずに降級となった。
248	1447-1-田井-compound	本社は宮崎県西臼杵郡高千穂町大字三田井1447-1。
250	市-貴-compound,財団-貴-compound,申入-本-compound	貴市および貴財団では,本申入にかかる事実が判っても,今後もAPTFによる使用を許可し続けるのですか。
252	議員-州議会-compound,ノリス-・-compound	1953年まで州議会議員を務めた後、市長に転身したノリス・ポールソンの議席を争う補欠選挙に勝利し、下院議員となる。
253	合宿-野辺山-compound,Aクラス-選手権-compound	1998年から野辺山合宿に参加し、2001年に全日本ノービス選手権Aクラスで優勝。
254	形式-競技-compound,タイミング-スタート-compound,以上-秒-compound	競技形式は日本のものを取り入れているが、スタートタイミングが2秒以上で出遅れとなるなど若干の違いがある。
255	走-自-compound,用-移動-compound	ハーベスターは脱穀機にエンジンと自走できるための移動用クローラを取り付けたもので、米の場合、刈り取った稲から藁を取り除いて籾に仕上げる工程で使用される。
256	グリエルモ-彫刻家-compound,グリエルモ-・-compound,ダ-・-compound,作-モデナ-compound	ファサードは、アンセルモと同時代の彫刻家グリエルモ・ダ・モデナ作のレリーフで知られる。
258	FROMT-;-compound,1-C-compound	同じテーブル“T”に対して、SQL文SELECTC 1 FROMT;を実行すると、テーブル“T”のすべての行の列C 1のみが返される。
261	市場-二輪車-compound,相場-オークション-compound,基調-下落-compound,単価-売り上げ-compound,減-%-compound	ただ、国内二輪車市場の低迷でオークション相場の下落基調は続いており、平均売り上げ単価は0.5%減と小幅ながらマイナスとなった。
263	ハリウッド-・-compound,墓地-フォーエヴァー-compound	同市内のハリウッド・フォーエヴァー墓地に眠る。
265	号-ムグンファ-compound	ムグンファ号のみ停車。
266	家-つる-compound,圭-土-compound	「つる家」を強引に廃業に追い込もうとするも、小松原の「土圭の間の小野寺」としての忠告を聞き、強引な手を使わなくなった。
268	ジャーナリズム-ネット-compound,ジャーナリズム-ブログ-compound	当時は“ネットジャーナリズム”や“ブログジャーナリズム”といった言葉も一般的ではありませんでした。
269	時点-発表-compound,こと-に-fixed,賞-経済学-compound,ウィリアム-・-compound,前-授賞式-compound	1973年から、10月の各賞受賞者発表時点で生存している必要があるが、その後死亡しても取り消されないことになり、その規定により1996年経済学賞のウィリアム・ヴィックリーは授賞式前に亡くなっても受賞が取り消されなかった。
273	関係者-業界-compound,審議-法案-compound	ウォールストリートに対する国民の深い憤りを背景に、金融業界関係者は自身の行為がもたらす社会的影響を忘れてしまったと批判し、上院での法案審議を支持するよう要請。
275	さん-アイラス-compound	これもアイラスさんのおかげです。
278	662-UNSCR-compound	略称はUNSCR 662。
279	露-副-compound	その後、副露もしくは暗槓を行うごとに3枚ずつ減っていく。
281	古巣-・-compound,ゴール-決勝-compound,戦-トリノ-compound,初-自身-compound	古巣・ジェノアとの開幕戦で決勝ゴールを挙げると、11月 16日のトリノ戦では自身初のハットトリックを達成し、カターニアのセリエA通算100勝に貢献した。
282	側-派-compound,信任案-不-compound	市長は2月、反市長派側に電話で「不信任案を出して」と要求し、その後も挑発。
283	斎宮-堀河-compound	堀河斎宮と呼ばれた。
284	活動-音楽-compound,ゲーム-PC-compound	同人音楽活動としてオリジナル楽曲を作成し発売しているほか、アニメやPCゲームのBGMや主題歌を制作し提供している。
285	師-連歌-compound,宗長-・-compound	連歌師の宗長・宗碩に師事し、各地を旅した。
287	ビリー-・-compound	また、ビリー・リッデルも獲得する。
290	優勝-レース-compound,世界選手権-スポーツカー-compound,参戦-本格-compound	前年のセブリング12時間レース優勝をステップに、スポーツカー世界選手権への本格参戦を開始。
291	状-円-compound	黄身と白身が共に平円状となり、見た目が目玉のようになることからそう呼ばれる。
293	者-部外-compound,防衛省-・-compound,内部-自衛隊-compound,政権-民主党-compound,封殺-言論-compound	部外者の発言を規制する動きに対し、防衛省・自衛隊内部からは「民主党政権を批判したからであり、言論封殺ではないか」と疑問と反発の声が上がっている。
294	ニキータ-・-compound,中-ヨーロッパ-compound	主にロシアやフランスの映画で活躍しており、特に1994年に製作されたニキータ・ミハルコフの『太陽に灼かれて』ではヨーロッパ中で高い評価を受けた。
296	ら-自分-compound,後-説明-compound	彼らは自分らが行うべき任務について知らされた上で自主的に志願しており、任務説明後に参加を辞退することも認められていたが、辞退する隊員はいなかったという。
297	とい-サクラ-compound	このような関係をイラスト集にてサクラといのの関係はナルトとサスケと対比させていると作者がコメントしている。
299	米-欧-compound	欧米では頭文字を取って「SMT」と略される。
300	真岡-・-compound,笹宮-・-compound	しかし、赫が突如インターハイへの出場を決め、新宮は「真岡・笹宮・赫の組は完全に隙がなくなる」と評している。
301	音-動作-compound,費用-メンテナンス-compound	高速で静かな動作音であるが、装置やメンテナンス費用はやや高価。
302	返上-汚名-compound	県警は、汚名返上に向けて取り締まりを強化している。
303	通り-オスマン-compound,劇場-ウーダン-compound	1923年、オスマン通りという新たな大通りを建設するため、ロベール=ウーダン劇場が取り壊された。
304	解像度-画面-compound	転じて、640 x 480ピクセルの画面解像度を俗に「VGA」と呼ぶようにもなった。
305	兄ちゃん-お-compound	腕前はお兄ちゃんより上。
